** Conflict ** , thinking about stall or another move
** Conflict ** , thinking about stall or another move
Printing final path
Player 2 going at posisition at<63,65> at step 187
Player 1 going at posisition at<43,78> at step 188
Player 2 going at posisition at<63,64> at step 188
Player 1 going at posisition at<43,77> at step 189
Player 2 going at posisition at<63,63> at step 189
Player 1 going at posisition at<44,77> at step 190
Player 2 going at posisition at<63,62> at step 190
Player 1 going at posisition at<45,77> at step 191
Player 2 going at posisition at<63,61> at step 191
Player 1 going at posisition at<45,76> at step 192
Player 2 going at posisition at<63,60> at step 192
Player 1 going at posisition at<45,75> at step 193
Player 2 going at posisition at<63,59> at step 193
Player 1 going at posisition at<46,75> at step 194
Player 2 going at posisition at<64,59> at step 194
Player 1 going at posisition at<46,74> at step 195
Player 2 going at posisition at<64,58> at step 195
Player 1 going at posisition at<47,74> at step 196
Player 2 going at posisition at<65,58> at step 196
Player 1 going at posisition at<48,74> at step 197
Player 2 going at posisition at<66,58> at step 197
Player 1 going at posisition at<48,73> at step 198
Player 2 going at posisition at<66,57> at step 198
Player 1 going at posisition at<49,73> at step 199
Player 2 going at posisition at<66,56> at step 199
Player 1 going at posisition at<50,73> at step 200
Player 2 going at posisition at<66,55> at step 200
Player 1 going at posisition at<51,73> at step 201
Player 2 going at posisition at<67,55> at step 201
Player 1 going at posisition at<51,72> at step 202
Player 2 going at posisition at<67,54> at step 202
Player 1 going at posisition at<51,71> at step 203
Player 2 going at posisition at<67,53> at step 203
Player 1 going at posisition at<52,71> at step 204
Player 2 going at posisition at<67,52> at step 204
Player 1 going at posisition at<53,71> at step 205
Player 2 going at posisition at<68,52> at step 205
Player 1 going at posisition at<53,70> at step 206
Player 2 going at posisition at<69,52> at step 206
Player 1 going at posisition at<54,70> at step 207
Player 2 going at posisition at<69,51> at step 207
Player 1 going at posisition at<54,69> at step 208
Player 2 going at posisition at<69,50> at step 208
Player 1 going at posisition at<55,69> at step 209
Player 2 going at posisition at<69,49> at step 209
Player 1 going at posisition at<56,69> at step 210
Player 2 going at posisition at<69,48> at step 210
Player 1 going at posisition at<56,68> at step 211
Player 2 going at posisition at<69,47> at step 211
Player 1 going at posisition at<57,68> at step 212
Player 2 going at posisition at<69,46> at step 212
Player 1 going at posisition at<57,67> at step 213
Player 2 going at posisition at<69,45> at step 213
Player 1 going at posisition at<57,66> at step 214
Player 2 going at posisition at<69,44> at step 214
Player 1 going at posisition at<58,66> at step 215
Player 2 going at posisition at<69,43> at step 215
Player 1 going at posisition at<58,65> at step 216
Player 2 going at posisition at<69,42> at step 216
Player 1 going at posisition at<59,65> at step 217
Player 2 going at posisition at<69,41> at step 217
Player 1 going at posisition at<60,65> at step 218
Player 2 going at posisition at<70,41> at step 218
Player 1 going at posisition at<61,65> at step 219
Player 2 going at posisition at<71,41> at step 219
Player 1 going at posisition at<62,65> at step 220
Player 2 going at posisition at<71,40> at step 220
Player 1 going at posisition at<63,65> at step 221
Player 2 going at posisition at<71,39> at step 221
Player 1 going at posisition at<63,64> at step 222
Player 2 going at posisition at<71,38> at step 222
Player 1 going at posisition at<63,63> at step 223
Player 2 going at posisition at<71,37> at step 223
Player 1 going at posisition at<63,62> at step 224
Player 2 going at posisition at<71,36> at step 224
Player 1 going at posisition at<63,61> at step 225
Player 2 going at posisition at<71,35> at step 225
Player 1 going at posisition at<63,60> at step 226
Player 2 going at posisition at<71,34> at step 226
Player 1 going at posisition at<63,59> at step 227
Player 2 going at posisition at<71,33> at step 227
Player 1 going at posisition at<64,59> at step 228
Player 2 going at posisition at<72,33> at step 228
Player 1 going at posisition at<64,58> at step 229
Player 2 going at posisition at<72,32> at step 229
Player 1 going at posisition at<65,58> at step 230
Player 2 going at posisition at<73,32> at step 230
Player 1 going at posisition at<66,58> at step 231
Player 2 going at posisition at<74,32> at step 231
Player 1 going at posisition at<66,57> at step 232
Player 2 going at posisition at<75,32> at step 232
Player 1 going at posisition at<66,56> at step 233
Player 2 going at posisition at<75,31> at step 233
Player 1 going at posisition at<66,55> at step 234
Player 2 going at posisition at<76,31> at step 234
Player 1 going at posisition at<67,55> at step 235
Player 2 going at posisition at<77,31> at step 235
Player 1 going at posisition at<67,54> at step 236
Player 2 going at posisition at<78,31> at step 236
Player 1 going at posisition at<67,53> at step 237
Player 2 going at posisition at<78,31> at step 237
Player 1 going at posisition at<67,52> at step 238
Player 2 going at posisition at<78,32> at step 238
Player 1 going at posisition at<68,52> at step 239
Player 2 going at posisition at<78,33> at step 239
Player 1 going at posisition at<69,52> at step 240
Player 2 going at posisition at<78,34> at step 240
Player 1 going at posisition at<69,51> at step 241
Player 2 going at posisition at<78,35> at step 241
Player 1 going at posisition at<69,50> at step 242
Player 2 going at posisition at<78,36> at step 242
